linkUrl,status,field_similarities,field_mismatches,missing_in_strapi,missing_in_contentful,detailed_diffs
untitled-entry-2025-02-13-at-07-52-41,❌ Missing,,,❌,,
what-are-the-structural-loads-that-affect-steel-frame-buildings,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
how-do-you-restore-galvanised-metal,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
corrosion-fatigue-in-tmt-bars-causes-and-prevention-methods,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
contractors-guide-to-storing-and-handling-tmt-steel-and-cement,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
understanding-mild-steel-a-technical-guide,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
steel-lifeline-of-the-hvac-industry,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
difference-between-renders-and-plasters-made-from-cement,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
types-of-cement-and-their-uses-in-construction-projects,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
how-to-cure-concrete-at-the-right-temperature,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
from-paint-to-coating-evaluating-colour-coated-steel-and-traditional-painted,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
what-are-the-signs-of-a-good-quality-tmt-bar,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
an-msmes-guide-to-working-capital-management,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
comparing-hrpo-steel-to-other-steel-finishes,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
cement-in-railway-infrastructure,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
how-to-optimise-energy-efficiency-in-industrial-buildings-with-steel,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
galvanised-plain-sheets-in-automotive-manufacturing,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
electric-vehicle-boom-in-india-opportunities-for-the-msmes-to-catalyse-the,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
are-tmt-rebars-the-ultimate-money-saver-for-construction,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
managing-bulk-procurement-challenges-in-tmt-delivery,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
how-steel-reinforcements-improve-the-structural-integrity-of-solar-carports,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
how-to-maintain-the-longevity-of-steel-fasteners-in-harsh-environments,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
steel-selection-for-high-performance-vehicles,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
unveiling-the-characteristics-types-and-applications-of-colour-coated-steel,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
best-practices-for-column-construction,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
a-look-into-the-multifaceted-applications-of-colour-coated-steel-sheets,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
top-techniques-for-welding-tmt-bars,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
steel-sheets-and-metal-forming-in-the-automotive-industry,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
is-green-cement-the-future-of-sustainable-construction,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
best-cement-for-plastering-your-house,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
8-factors-to-consider-before-buying-cement,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
alkali-silica-reaction-in-cement-causes-and-mitigation-strategies,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
all-about-the-i-beams-in-construction,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
benefits-of-steel-cladding-sheets-in-construction-projects,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
cracking-the-motorcycle-code-5-important-steels-used-in-two-wheelers,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
2021-steel-trends-in-the-construction-industry,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
your-complete-guide-to-purchasing-chequered-steel-plates,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
key-considerations-when-designing-with-steel-in-modular-furniture,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
the-role-of-hot-rolled-steel-in-pre-engineered-buildings,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
consumables-corner-role-of-welding-consumables-in-the-construction-industry,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
what-to-pick-steel-copper-brass-or-bronze,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
budget-2025-a-defining-moment-for-the-construction-industry,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 0.927; metaDescription: 0.968; categoryName: 1.0; timeDuration: 1.0,metaTitle (Similarity: 0.93); metaDescription (Similarity: 0.97),,,"metaTitle:

    <table class=""diff"" id=""difflib_chg_to2__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaTitle</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaTitle</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to2__0""><a href=""#difflib_chg_to2__top"">t</a></td><td class=""diff_header"" id=""from2_1"">1</td><td nowrap=""nowrap"">budget&nbsp;2025&nbsp;and&nbsp;the&nbsp;future&nbsp;of&nbsp;india&nbsp;s&nbsp;construction&nbsp;industry&nbsp;</td><td class=""diff_next""><a href=""#difflib_chg_to2__top"">t</a></td><td class=""diff_header"" id=""to2_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">test&nbsp;</span>budget&nbsp;2025&nbsp;and&nbsp;the&nbsp;future&nbsp;of&nbsp;india&nbsp;s&nbsp;construction&nbsp;indu</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">jsw&nbsp;one&nbsp;msme</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">stry&nbsp;jsw&nbsp;one&nbsp;msme</td></tr>
        </tbody>
    </table>
metaDescription:

    <table class=""diff"" id=""difflib_chg_to3__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaDescription</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaDescription</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to3__0""><a href=""#difflib_chg_to3__top"">t</a></td><td class=""diff_header"" id=""from3_1"">1</td><td nowrap=""nowrap"">how&nbsp;will&nbsp;budget&nbsp;2025&nbsp;impact&nbsp;india&nbsp;s&nbsp;construction&nbsp;industry&nbsp;fr</td><td class=""diff_next""><a href=""#difflib_chg_to3__top"">t</a></td><td class=""diff_header"" id=""to3_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">test&nbsp;</span>how&nbsp;will&nbsp;budget&nbsp;2025&nbsp;impact&nbsp;india&nbsp;s&nbsp;construction&nbsp;indust</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">om&nbsp;raw&nbsp;material&nbsp;pricing&nbsp;to&nbsp;government&nbsp;investments&nbsp;explore&nbsp;th</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">ry&nbsp;from&nbsp;raw&nbsp;material&nbsp;pricing&nbsp;to&nbsp;government&nbsp;investments&nbsp;explo</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">e&nbsp;key&nbsp;trends&nbsp;that&nbsp;will&nbsp;shape&nbsp;the&nbsp;sector&nbsp;s&nbsp;future</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">re&nbsp;the&nbsp;key&nbsp;trends&nbsp;that&nbsp;will&nbsp;shape&nbsp;the&nbsp;sector&nbsp;s&nbsp;future</td></tr>
        </tbody>
    </table>"
the-impact-of-micro-alloying-elements-on-the-properties-of-tmt-bars,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
alternate-finance-what-are-your-options-as-an-msme,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
how-e250br-steel-enhances-industrial-equipment-durability,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
9-benefits-of-e-commerce-has-your-business-made-the-move-yet,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
how-steel-fabrication-techniques-influence-solar-panel-structure-quality,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
heat-treated-steel-in-engine-components-benefits-and-applications,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
strategies-for-traders-and-distributors-to-master-cash-flow,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
role-of-nickel-in-stainless-steel,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
article,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
innovations-in-coated-steel-for-pebs-ppgl-gl-and-gp,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
tmt-vs-tmx-vs-hysd,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
understanding-the-art-of-cold-rolling-of-steel,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
thermal-performance-of-steel-framed-prefabricated-buildings,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
corrosion-is-a-common-challenge-in-steel-structures,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
the-importance-of-steel-mounting-frames-in-solar-panel-installations,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
what-are-the-factors-that-contribute-to-the-quality-of-steel,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
tips-and-tricks-to-lower-construction-costs,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
what-are-your-options-for-steel-plates,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
innovations-in-steel-coatings-and-surface-treatments-for-improved-durability,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
galvanized-steel-an-indispensable-material-for-the-future-of-the-automotive,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
a-guide-for-contractors-to-ensure-quality-in-construction,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
importance-of-rebar-in-concrete-footings-for-solid-foundations,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
7-tips-for-prolonging-vehicle-lifespan-with-steel-chassis-maintenance,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
hot-rolled-steel-crash-barriers-installation-techniques-and-best-practices,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
access-to-prime-capital-via-anchors-like-jsw-one,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
role-of-steel-in-enhancing-noise-vibration-and-harshness-nvh-vehicle,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
what-is-the-benefit-of-trade-accounts-receivable,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
how-hot-rolled-steel-makes-i-beams-resilient,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
Why-cold-rolled-steel-is-essential-for-precision-industrial-and-machinery-parts-manufacturing,❌ Missing,,,❌,,
stainless-steel-surface-finishes-and-their-applications,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
why-cold-rolled-steel-is-essential-for-precision-auto-parts-manufacturing,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
what-are-the-chemical-properties-of-different-types-of-cement-and-how-do,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
cement-durability-tests-for-extreme-weather-conditions,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
corrosion-resistant-steel-coatings-for-auto-parts-in-harsh-indian-climates,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
safeguards-to-consider-when-powder-coating-steel,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
the-pli-scheme-specialty-steel-gets-special-incentives,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
different-types-of-stainless-steel-grades,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
what-are-the-various-grades-of-opc,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
embracing-sustainability-exploring-green-construction-and-its-materials,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
what-are-the-key-factors-in-selecting-steel-for-warehouse-racking-systems,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
cement-vs-concrete-vs-mortar-choosing-the-right-material-for-the-job-,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
how-steel-is-used-in-the-automobile-industry-past-present-and-future,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
how-steel-endures-in-solar-applications,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
10-benefits-of-precision-and-accuracy-with-cut-to-length-services,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
how-to-overcome-welding-challenges-with-tmt-steel,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
combating-the-steel-price-fluctuations-in-india-what-are-your-options-as-an,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
how-to-avoid-the-cracks-in-a-wall-or-column-for-high-strength-concrete,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
8-common-concrete-problems-and-how-to-solve-them,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
how-msmes-can-leverage-steel-to-improve-safety-in-auto-components,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
what-is-the-role-played-by-concrete-admixtures-in-modern-construction,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
the-corrosion-resistance-of-stainless-steel-how-it-works-and-how-to-optimise,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
how-additives-in-concrete-improve-workability-and-durability,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
where-is-portland-pozzolana-cement-ppc-used,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
the-role-of-coated-steel-in-solar-panel-manufacturing,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
peb-technology-for-large-scale-agricultural-projects,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
black-stainless-steel-the-new-champion-in-appliance-manufacturing,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
how-steel-stamping-impacts-precision-in-auto-parts-production,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
