linkUrl,field,contentful_value,strapi_value,similarity
unveiling-the-characteristics-types-and-applications-of-colour-coated-steel,isThisAFeaturedArticle,yes,true,0.286
unveiling-the-characteristics-types-and-applications-of-colour-coated-steel,contentfulId,MISSING,MISSING,MISSING
contemporary-uses-of-mild-steel,isThisAPrimaryArticle,yes,true,0.286
contemporary-uses-of-mild-steel,isThisAFeaturedArticle,n a,,0.0
contemporary-uses-of-mild-steel,contentfulId,MISSING,MISSING,MISSING
a-look-into-the-multifaceted-applications-of-colour-coated-steel-sheets,isThisAPrimaryArticle,yes,true,0.286
a-look-into-the-multifaceted-applications-of-colour-coated-steel-sheets,isThisAFeaturedArticle,yes,true,0.286
a-look-into-the-multifaceted-applications-of-colour-coated-steel-sheets,contentfulId,MISSING,MISSING,MISSING
best-cement-for-plastering-your-house,isThisAPrimaryArticle,yes,true,0.286
best-cement-for-plastering-your-house,isThisAFeaturedArticle,yes,true,0.286
best-cement-for-plastering-your-house,contentfulId,MISSING,MISSING,MISSING
the-benefits-and-challenges-of-using-stainless-steel-in-marine-environments,isThisAPrimaryArticle,yes,true,0.286
the-benefits-and-challenges-of-using-stainless-steel-in-marine-environments,isThisAFeaturedArticle,n a,,0.0
the-benefits-and-challenges-of-using-stainless-steel-in-marine-environments,contentfulId,MISSING,MISSING,MISSING
how-does-steel-in-rail-infrastructure-enhance-the-strength-of-tracks,isThisAPrimaryArticle,yes,true,0.286
how-does-steel-in-rail-infrastructure-enhance-the-strength-of-tracks,isThisAFeaturedArticle,yes,true,0.286
how-does-steel-in-rail-infrastructure-enhance-the-strength-of-tracks,contentfulId,MISSING,MISSING,MISSING
tmt-steel-manufacturing-process-a-comprehensive-guide,isThisAPrimaryArticle,yes,true,0.286
tmt-steel-manufacturing-process-a-comprehensive-guide,isThisAFeaturedArticle,yes,true,0.286
tmt-steel-manufacturing-process-a-comprehensive-guide,contentfulId,MISSING,MISSING,MISSING
applications-of-hrpo-is-1079-2017-hr2-steel,isThisAPrimaryArticle,yes,true,0.286
applications-of-hrpo-is-1079-2017-hr2-steel,isThisAFeaturedArticle,yes,true,0.286
applications-of-hrpo-is-1079-2017-hr2-steel,contentfulId,MISSING,MISSING,MISSING
cement-materials-and-manufacturing-process,isThisAPrimaryArticle,yes,true,0.286
cement-materials-and-manufacturing-process,isThisAFeaturedArticle,yes,true,0.286
cement-materials-and-manufacturing-process,contentfulId,MISSING,MISSING,MISSING
the-effect-of-strain-rate-and-temperature-on-the-mechanical-behaviour-of,categoryName,n a,,0.0
the-effect-of-strain-rate-and-temperature-on-the-mechanical-behaviour-of,timeDuration,n a,,0.0
the-effect-of-strain-rate-and-temperature-on-the-mechanical-behaviour-of,isThisAPrimaryArticle,n a,,0.0
the-effect-of-strain-rate-and-temperature-on-the-mechanical-behaviour-of,isThisAFeaturedArticle,yes,true,0.286
the-effect-of-strain-rate-and-temperature-on-the-mechanical-behaviour-of,contentfulId,MISSING,MISSING,MISSING
concrete-vs-cement-a-comprehensive-comparison,isThisAPrimaryArticle,yes,true,0.286
concrete-vs-cement-a-comprehensive-comparison,isThisAFeaturedArticle,yes,true,0.286
concrete-vs-cement-a-comprehensive-comparison,contentfulId,MISSING,MISSING,MISSING
embracing-sustainability-exploring-green-construction-and-its-materials,isThisAPrimaryArticle,yes,true,0.286
embracing-sustainability-exploring-green-construction-and-its-materials,isThisAFeaturedArticle,yes,true,0.286
embracing-sustainability-exploring-green-construction-and-its-materials,contentfulId,MISSING,MISSING,MISSING
understanding-the-art-of-cold-rolling-of-steel,isThisAPrimaryArticle,yes,true,0.286
understanding-the-art-of-cold-rolling-of-steel,isThisAFeaturedArticle,yes,true,0.286
understanding-the-art-of-cold-rolling-of-steel,contentfulId,MISSING,MISSING,MISSING
exploring-is-513-cr2-cold-rolled-steels-versatility,isThisAPrimaryArticle,yes,true,0.286
exploring-is-513-cr2-cold-rolled-steels-versatility,isThisAFeaturedArticle,n a,,0.0
exploring-is-513-cr2-cold-rolled-steels-versatility,contentfulId,MISSING,MISSING,MISSING
comparative-analysis-between-galvanised-vs-galvalume-steel-for-solar-panels,isThisAPrimaryArticle,yes,true,0.286
comparative-analysis-between-galvanised-vs-galvalume-steel-for-solar-panels,isThisAFeaturedArticle,yes,true,0.286
comparative-analysis-between-galvanised-vs-galvalume-steel-for-solar-panels,contentfulId,MISSING,MISSING,MISSING
how-to-prevent-construction-sites-from-water-logging,isThisAPrimaryArticle,yes,true,0.286
how-to-prevent-construction-sites-from-water-logging,isThisAFeaturedArticle,yes,true,0.286
how-to-prevent-construction-sites-from-water-logging,contentfulId,MISSING,MISSING,MISSING
what-are-the-structural-loads-that-affect-steel-frame-buildings,isThisAPrimaryArticle,yes,true,0.286
what-are-the-structural-loads-that-affect-steel-frame-buildings,isThisAFeaturedArticle,yes,true,0.286
what-are-the-structural-loads-that-affect-steel-frame-buildings,contentfulId,MISSING,MISSING,MISSING
navigating-supply-chain-disruptions-in-construction,metaDescription,n a,buy the best quality steel welding consumables tmt and cement online at jsw one msme the online marketplace for manufacturing construction material requirements,0.0
navigating-supply-chain-disruptions-in-construction,isThisAPrimaryArticle,yes,true,0.286
navigating-supply-chain-disruptions-in-construction,isThisAFeaturedArticle,yes,true,0.286
navigating-supply-chain-disruptions-in-construction,contentfulId,MISSING,MISSING,MISSING
the-impact-of-steel-quality-on-solar-panel-durability,isThisAPrimaryArticle,n a,,0.0
the-impact-of-steel-quality-on-solar-panel-durability,isThisAFeaturedArticle,n a,,0.0
the-impact-of-steel-quality-on-solar-panel-durability,contentfulId,MISSING,MISSING,MISSING
steel-marketwatch-july-2022,isThisAPrimaryArticle,n a,,0.0
steel-marketwatch-july-2022,isThisAFeaturedArticle,yes,true,0.286
steel-marketwatch-july-2022,contentfulId,MISSING,MISSING,MISSING
stainless-steel-properties-and-how-they-change-with-nickel,isThisAPrimaryArticle,n a,,0.0
stainless-steel-properties-and-how-they-change-with-nickel,isThisAFeaturedArticle,yes,true,0.286
stainless-steel-properties-and-how-they-change-with-nickel,contentfulId,MISSING,MISSING,MISSING
your-ultimate-guide-to-maintaining-concrete-structures,isThisAPrimaryArticle,yes,true,0.286
your-ultimate-guide-to-maintaining-concrete-structures,isThisAFeaturedArticle,yes,true,0.286
your-ultimate-guide-to-maintaining-concrete-structures,contentfulId,MISSING,MISSING,MISSING
advantages-of-stainless-steel-for-fabrication-projects,metaTitle,n a,buy steel online industrial materials marketplace jsw one msme,0.0
advantages-of-stainless-steel-for-fabrication-projects,metaDescription,n a,buy the best quality steel welding consumables tmt and cement online at jsw one msme the online marketplace for manufacturing construction material requirements,0.0
advantages-of-stainless-steel-for-fabrication-projects,isThisAPrimaryArticle,n a,,0.0
advantages-of-stainless-steel-for-fabrication-projects,isThisAFeaturedArticle,yes,true,0.286
advantages-of-stainless-steel-for-fabrication-projects,contentfulId,MISSING,MISSING,MISSING
steel-column-reinforcement-techniques-for-seismic-resistance,isThisAPrimaryArticle,yes,true,0.286
steel-column-reinforcement-techniques-for-seismic-resistance,isThisAFeaturedArticle,yes,true,0.286
steel-column-reinforcement-techniques-for-seismic-resistance,contentfulId,MISSING,MISSING,MISSING
role-of-nickel-in-stainless-steel,isThisAPrimaryArticle,yes,true,0.286
role-of-nickel-in-stainless-steel,isThisAFeaturedArticle,yes,true,0.286
role-of-nickel-in-stainless-steel,contentfulId,MISSING,MISSING,MISSING
steel-sheets-and-metal-forming-in-the-automotive-industry,isThisAPrimaryArticle,yes,true,0.286
steel-sheets-and-metal-forming-in-the-automotive-industry,isThisAFeaturedArticle,yes,true,0.286
steel-sheets-and-metal-forming-in-the-automotive-industry,contentfulId,MISSING,MISSING,MISSING
enhancing-solar-panel-efficiency-with-steel-support-structures,content,steel support structures are integral to the efficiency and durability of solar power installations they provide the strength stability and adaptability required to position solar panels optimally ensuring maximum energy capture the choice of steel and its design directly influences the performance of solar panels especially in challenging environmental conditions importance of steel in solar support structures steel support structures are used to mount and align solar panels for optimal sunlight exposure their contribution to solar panel efficiency lies in several key aspects structural integrity steel provides the strength needed to withstand environmental stresses such as wind snow loads and seismic activity flexibility in design steel s formability allows for customisable designs to support fixed tilt or tracking systems that follow the sun s movement corrosion resistance coated steel such as galvanised or galvalume steel protects against rust and degradation ensuring durability in outdoor installations thermal stability steel s low thermal expansion helps maintain the alignment of panels despite temperature fluctuations types of steel used in solar structures galvanised steel coated with a layer of zinc it offers excellent corrosion resistance and is commonly used in harsh environments galvalume steel with its aluminium zinc silicon coating galvalume steel provides superior corrosion resistance and thermal reflectivity high strength low alloy hsla steel used in applications requiring lightweight structures with high tensile strength such as solar tracking systems stainless steel chosen for parts exposed to extreme weather due to its resistance to oxidation and rust how steel support structures enhance efficiency optimal panel positioning steel tracking systems adjust solar panel angles throughout the day increasing exposure to sunlight and boosting energy yield by up to 30 reduced energy loss rigid steel structures minimise misalignment caused by environmental factors ensuring consistent power generation improved durability corrosion resistant steel reduces the risk of structural failure preventing downtime and maintaining system efficiency lightweight designs steel s strength to weight ratio allows for lighter structures that are easier to install without compromising stability applications of steel in solar installations ground mounted systems steel is used for both fixed and tracking mounting systems in large solar farms rooftop solar structures steel frames and supports secure solar panels on residential commercial and industrial rooftops floating solar systems specialised steel frames are employed to support panels on floating platforms in water based installations maintenance considerations steel structures require periodic inspections to ensure their long term performance corrosion checks inspect for rust especially in coastal or high humidity regions structural integrity verify that bolts joints and welds are secure alignment checks confirm that panels remain correctly positioned for maximum energy capture how jsw one msme supports solar projects jsw one msme offers a range of steel solutions tailored to solar infrastructure from high quality galvanised and galvalume steel to logistics and credit support the platform ensures efficient sourcing and timely delivery for solar installations this empowers msmes to meet their project requirements without compromising on quality or efficiency conclusion steel support structures are vital for enhancing the efficiency and reliability of solar panels by providing strength adaptability and corrosion resistance steel ensures that solar installations operate at peak performance partnering with trusted platforms like jsw one msme simplifies access to high quality steel enabling msmes to deliver sustainable and efficient solar energy solutions,MISSING,MISSING
enhancing-solar-panel-efficiency-with-steel-support-structures,title,enhancing solar panel efficiency with steel support structures,MISSING,MISSING
enhancing-solar-panel-efficiency-with-steel-support-structures,metaTitle,enhancing solar panel efficiency with steel support structures jsw one msme blog,MISSING,MISSING
enhancing-solar-panel-efficiency-with-steel-support-structures,metaDescription,buy the best quality steel welding consumables tmt and cement online at jsw one msme the online marketplace for manufacturing construction material requirements,MISSING,MISSING
enhancing-solar-panel-efficiency-with-steel-support-structures,categoryName,business,MISSING,MISSING
enhancing-solar-panel-efficiency-with-steel-support-structures,timeDuration,3 minutes,MISSING,MISSING
enhancing-solar-panel-efficiency-with-steel-support-structures,linkText,read now,MISSING,MISSING
enhancing-solar-panel-efficiency-with-steel-support-structures,isThisAPrimaryArticle,n a,MISSING,MISSING
enhancing-solar-panel-efficiency-with-steel-support-structures,isThisAFeaturedArticle,n a,MISSING,MISSING
enhancing-solar-panel-efficiency-with-steel-support-structures,contentfulId,MISSING,MISSING,MISSING
electric-vehicle-boom-in-india-opportunities-for-the-msmes-to-catalyse-the,isThisAPrimaryArticle,yes,true,0.286
electric-vehicle-boom-in-india-opportunities-for-the-msmes-to-catalyse-the,isThisAFeaturedArticle,yes,true,0.286
electric-vehicle-boom-in-india-opportunities-for-the-msmes-to-catalyse-the,contentfulId,MISSING,MISSING,MISSING
what-is-the-benefit-of-trade-accounts-receivable,isThisAPrimaryArticle,n a,,0.0
what-is-the-benefit-of-trade-accounts-receivable,isThisAFeaturedArticle,n a,,0.0
what-is-the-benefit-of-trade-accounts-receivable,contentfulId,MISSING,MISSING,MISSING
stainless-steel-surface-finishes-and-their-applications,isThisAPrimaryArticle,yes,true,0.286
stainless-steel-surface-finishes-and-their-applications,isThisAFeaturedArticle,n a,,0.0
stainless-steel-surface-finishes-and-their-applications,contentfulId,MISSING,MISSING,MISSING
8-common-concrete-problems-and-how-to-solve-them,isThisAPrimaryArticle,yes,true,0.286
8-common-concrete-problems-and-how-to-solve-them,isThisAFeaturedArticle,yes,true,0.286
8-common-concrete-problems-and-how-to-solve-them,contentfulId,MISSING,MISSING,MISSING
structural-steel-connections-bolted-vs-welded-joints-pros-cons-and,isThisAPrimaryArticle,yes,true,0.286
structural-steel-connections-bolted-vs-welded-joints-pros-cons-and,isThisAFeaturedArticle,yes,true,0.286
structural-steel-connections-bolted-vs-welded-joints-pros-cons-and,contentfulId,MISSING,MISSING,MISSING
the-future-of-msmes-in-india-an-exploration,isThisAPrimaryArticle,yes,true,0.286
the-future-of-msmes-in-india-an-exploration,isThisAFeaturedArticle,yes,true,0.286
the-future-of-msmes-in-india-an-exploration,contentfulId,MISSING,MISSING,MISSING
cement-in-railway-infrastructure,isThisAPrimaryArticle,n a,,0.0
cement-in-railway-infrastructure,isThisAFeaturedArticle,n a,,0.0
cement-in-railway-infrastructure,contentfulId,MISSING,MISSING,MISSING
types-of-cement-and-their-uses-in-construction-projects,isThisAPrimaryArticle,yes,true,0.286
types-of-cement-and-their-uses-in-construction-projects,isThisAFeaturedArticle,yes,true,0.286
types-of-cement-and-their-uses-in-construction-projects,contentfulId,MISSING,MISSING,MISSING
can-you-over-reinforce-concrete,isThisAPrimaryArticle,yes,true,0.286
can-you-over-reinforce-concrete,isThisAFeaturedArticle,yes,true,0.286
can-you-over-reinforce-concrete,contentfulId,MISSING,MISSING,MISSING
10-benefits-of-precision-and-accuracy-with-cut-to-length-services,isThisAPrimaryArticle,yes,true,0.286
10-benefits-of-precision-and-accuracy-with-cut-to-length-services,isThisAFeaturedArticle,yes,true,0.286
10-benefits-of-precision-and-accuracy-with-cut-to-length-services,contentfulId,MISSING,MISSING,MISSING
optimising-trade-and-cash-flow-for-msmes-with-off-balance-sheet-options,isThisAPrimaryArticle,yes,true,0.286
optimising-trade-and-cash-flow-for-msmes-with-off-balance-sheet-options,isThisAFeaturedArticle,yes,true,0.286
optimising-trade-and-cash-flow-for-msmes-with-off-balance-sheet-options,contentfulId,MISSING,MISSING,MISSING
why-choosing-quality-over-price-matters-when-it-comes-to-steel,isThisAPrimaryArticle,yes,true,0.286
why-choosing-quality-over-price-matters-when-it-comes-to-steel,isThisAFeaturedArticle,yes,true,0.286
why-choosing-quality-over-price-matters-when-it-comes-to-steel,contentfulId,MISSING,MISSING,MISSING
why-are-soil-analysis-and-site-preparation-for-installing-steel-support,isThisAPrimaryArticle,yes,true,0.286
why-are-soil-analysis-and-site-preparation-for-installing-steel-support,isThisAFeaturedArticle,n a,,0.0
why-are-soil-analysis-and-site-preparation-for-installing-steel-support,contentfulId,MISSING,MISSING,MISSING
cement-applications-in-residential-construction,isThisAPrimaryArticle,yes,true,0.286
cement-applications-in-residential-construction,isThisAFeaturedArticle,yes,true,0.286
cement-applications-in-residential-construction,contentfulId,MISSING,MISSING,MISSING
digital-lending-options-for-msmes-in-india,isThisAPrimaryArticle,n a,,0.0
digital-lending-options-for-msmes-in-india,isThisAFeaturedArticle,yes,true,0.286
digital-lending-options-for-msmes-in-india,contentfulId,MISSING,MISSING,MISSING
what-is-the-importance-of-proper-heat-treatment-in-steel-crankshaft,isThisAPrimaryArticle,yes,true,0.286
what-is-the-importance-of-proper-heat-treatment-in-steel-crankshaft,isThisAFeaturedArticle,yes,true,0.286
what-is-the-importance-of-proper-heat-treatment-in-steel-crankshaft,contentfulId,MISSING,MISSING,MISSING
understanding-the-application-of-pre-engineered-buildings-for-large-scale-indian-projects,isThisAPrimaryArticle,n a,,0.0
understanding-the-application-of-pre-engineered-buildings-for-large-scale-indian-projects,isThisAFeaturedArticle,n a,,0.0
understanding-the-application-of-pre-engineered-buildings-for-large-scale-indian-projects,contentfulId,MISSING,MISSING,MISSING
role-of-e-commerce-in-msme-growth,isThisAPrimaryArticle,n a,,0.0
role-of-e-commerce-in-msme-growth,isThisAFeaturedArticle,yes,true,0.286
role-of-e-commerce-in-msme-growth,contentfulId,MISSING,MISSING,MISSING
cracking-the-motorcycle-code-5-important-steels-used-in-two-wheelers,isThisAPrimaryArticle,n a,,0.0
cracking-the-motorcycle-code-5-important-steels-used-in-two-wheelers,isThisAFeaturedArticle,n a,,0.0
cracking-the-motorcycle-code-5-important-steels-used-in-two-wheelers,contentfulId,MISSING,MISSING,MISSING
cibil-and-cmr-how-better-credit-ratings-can-help-fuel-growth-for-msmes,isThisAPrimaryArticle,n a,,0.0
cibil-and-cmr-how-better-credit-ratings-can-help-fuel-growth-for-msmes,isThisAFeaturedArticle,n a,,0.0
cibil-and-cmr-how-better-credit-ratings-can-help-fuel-growth-for-msmes,contentfulId,MISSING,MISSING,MISSING
understanding-letters-of-credit-lc-and-their-role-in-supporting-msmes,content,how letters of credit work 1 parties involved a buyer applicant requests the lc from their bank b seller beneficiary receives payment once the terms of the lc are fulfilled c issuing bank issues the lc on behalf of the buyer d advising bank represents the seller and advises them on the lc terms 2 process a the buyer and seller agree on a trade contract specifying the use of an lc b the buyer s bank issues the lc and shares it with the advising bank c the seller ships the goods and submits required documents e g bill of lading invoice to the advising bank d the advising bank verifies the documents and forwards them to the issuing bank e upon verification the issuing bank releases payment to the seller role of lcs in supporting msmes 1 enhancing trust many msmes face credibility challenges when dealing with new clients an lc assures sellers of payment once terms are fulfilled building trust with buyers 2 improving cash flow lcs provide sellers with a predictable payment timeline enabling better cash flow management this is especially crucial for msmes with tight working capital 3 minimising risk lcs mitigate risks such as buyer insolvency or non payment ensuring msmes can trade with confidence 4 facilitating credit access many banks offer financing against lcs allowing msmes to bridge gaps in their working capital needs without exhausting other credit lines 5 encouraging trade expansion with payment assurance msmes can explore new markets domestically and internationally scaling their operations without worrying about payment security types of letters of credit 1 revocable and irrevocable lcs most lcs are irrevocable meaning they cannot be changed without mutual agreement providing added security to sellers 2 confirmed lcs these include an additional guarantee from the advising bank offering extra security for sellers in high risk markets 3 standby lcs used as a backup payment guarantee if the buyer fails to fulfil their obligations 4 revolving lcs useful for ongoing contracts as they allow repeated use without the need for new documentation challenges and solutions complex documentation msmes often find the documentation for lcs cumbersome digital platforms and professional advisory services can simplify this process costs banks charge fees for issuing and confirming lcs msmes can negotiate competitive rates or explore government schemes aimed at reducing trade finance costs banking relationships limited access to banks willing to issue lcs can hinder msmes building long term relationships with financial institutions or using platforms like jsw one msme can help conclusion letters of credit are instrumental in empowering msmes by mitigating payment risks and providing liquidity with growing digitalisation and platforms like jsw one msme indian msmes can simplify the process of accessing lcs streamline material procurement and focus on scaling their operations confidently,MISSING,MISSING
understanding-letters-of-credit-lc-and-their-role-in-supporting-msmes,title,understanding letters of credit lc and their role in supporting msmes,MISSING,MISSING
understanding-letters-of-credit-lc-and-their-role-in-supporting-msmes,metaTitle,letters of credit a financial lifeline for msmes jsw one msme,MISSING,MISSING
understanding-letters-of-credit-lc-and-their-role-in-supporting-msmes,metaDescription,understand the role of lcs in mitigating risks securing payments and unlocking growth potential for msmes in domestic and international trade,MISSING,MISSING
understanding-letters-of-credit-lc-and-their-role-in-supporting-msmes,categoryName,business,MISSING,MISSING
understanding-letters-of-credit-lc-and-their-role-in-supporting-msmes,timeDuration,3 minutes,MISSING,MISSING
understanding-letters-of-credit-lc-and-their-role-in-supporting-msmes,linkText,understanding letters of credit lc and their role in supporting msmes,MISSING,MISSING
understanding-letters-of-credit-lc-and-their-role-in-supporting-msmes,isThisAPrimaryArticle,n a,MISSING,MISSING
understanding-letters-of-credit-lc-and-their-role-in-supporting-msmes,isThisAFeaturedArticle,n a,MISSING,MISSING
understanding-letters-of-credit-lc-and-their-role-in-supporting-msmes,contentfulId,MISSING,MISSING,MISSING
why-trade-credit-is-necessary-for-the-steel-industry,isThisAPrimaryArticle,n a,,0.0
why-trade-credit-is-necessary-for-the-steel-industry,isThisAFeaturedArticle,yes,true,0.286
why-trade-credit-is-necessary-for-the-steel-industry,contentfulId,MISSING,MISSING,MISSING
an-msmes-guide-to-working-capital-management,isThisAPrimaryArticle,n a,,0.0
an-msmes-guide-to-working-capital-management,isThisAFeaturedArticle,yes,true,0.286
an-msmes-guide-to-working-capital-management,contentfulId,MISSING,MISSING,MISSING
the-pli-scheme-specialty-steel-gets-special-incentives,isThisAPrimaryArticle,yes,true,0.286
the-pli-scheme-specialty-steel-gets-special-incentives,isThisAFeaturedArticle,yes,true,0.286
the-pli-scheme-specialty-steel-gets-special-incentives,contentfulId,MISSING,MISSING,MISSING
the-role-of-steel-columns-in-increasing-load-bearing-capacity-in-pebs,isThisAPrimaryArticle,n a,,0.0
the-role-of-steel-columns-in-increasing-load-bearing-capacity-in-pebs,isThisAFeaturedArticle,n a,,0.0
the-role-of-steel-columns-in-increasing-load-bearing-capacity-in-pebs,contentfulId,MISSING,MISSING,MISSING
key-considerations-when-designing-with-steel-in-modular-furniture,isThisAPrimaryArticle,yes,true,0.286
key-considerations-when-designing-with-steel-in-modular-furniture,isThisAFeaturedArticle,yes,true,0.286
key-considerations-when-designing-with-steel-in-modular-furniture,contentfulId,MISSING,MISSING,MISSING
how-msmes-can-grow-their-customer-base-and-generate-leads-digitally,isThisAPrimaryArticle,yes,true,0.286
how-msmes-can-grow-their-customer-base-and-generate-leads-digitally,isThisAFeaturedArticle,yes,true,0.286
how-msmes-can-grow-their-customer-base-and-generate-leads-digitally,contentfulId,MISSING,MISSING,MISSING
understanding-mild-steel-a-technical-guide,isThisAPrimaryArticle,yes,true,0.286
understanding-mild-steel-a-technical-guide,isThisAFeaturedArticle,n a,,0.0
understanding-mild-steel-a-technical-guide,contentfulId,MISSING,MISSING,MISSING
peb-structures-how-steel-grades-and-coatings-make-a-difference,isThisAPrimaryArticle,yes,true,0.286
peb-structures-how-steel-grades-and-coatings-make-a-difference,isThisAFeaturedArticle,yes,true,0.286
peb-structures-how-steel-grades-and-coatings-make-a-difference,contentfulId,MISSING,MISSING,MISSING
what-are-the-advantages-of-steel-in-seismic-resistant-industrial,isThisAPrimaryArticle,yes,true,0.286
what-are-the-advantages-of-steel-in-seismic-resistant-industrial,isThisAFeaturedArticle,yes,true,0.286
what-are-the-advantages-of-steel-in-seismic-resistant-industrial,contentfulId,MISSING,MISSING,MISSING
hot-rolled-steel-crash-barriers-installation-techniques-and-best-practices,isThisAPrimaryArticle,yes,true,0.286
hot-rolled-steel-crash-barriers-installation-techniques-and-best-practices,isThisAFeaturedArticle,yes,true,0.286
hot-rolled-steel-crash-barriers-installation-techniques-and-best-practices,contentfulId,MISSING,MISSING,MISSING
how-to-estimate-the-cost-of-structural-steel-fabrication,isThisAPrimaryArticle,yes,true,0.286
how-to-estimate-the-cost-of-structural-steel-fabrication,isThisAFeaturedArticle,yes,true,0.286
how-to-estimate-the-cost-of-structural-steel-fabrication,contentfulId,MISSING,MISSING,MISSING
the-difference-between-tmt-bar-and-round-ms-bar,isThisAPrimaryArticle,yes,true,0.286
the-difference-between-tmt-bar-and-round-ms-bar,isThisAFeaturedArticle,yes,true,0.286
the-difference-between-tmt-bar-and-round-ms-bar,contentfulId,MISSING,MISSING,MISSING
stainless-steel-in-solar-energy-use,isThisAPrimaryArticle,yes,true,0.286
stainless-steel-in-solar-energy-use,isThisAFeaturedArticle,yes,true,0.286
stainless-steel-in-solar-energy-use,contentfulId,MISSING,MISSING,MISSING
what-are-the-advantages-and-uses-of-opc-cement,isThisAPrimaryArticle,yes,true,0.286
what-are-the-advantages-and-uses-of-opc-cement,isThisAFeaturedArticle,yes,true,0.286
what-are-the-advantages-and-uses-of-opc-cement,contentfulId,MISSING,MISSING,MISSING
10-tips-for-maintaining-steel-springs-for-optimal-suspension-performance,isThisAPrimaryArticle,yes,true,0.286
10-tips-for-maintaining-steel-springs-for-optimal-suspension-performance,isThisAFeaturedArticle,yes,true,0.286
10-tips-for-maintaining-steel-springs-for-optimal-suspension-performance,contentfulId,MISSING,MISSING,MISSING
tmt-vs-tmx-vs-hysd,isThisAPrimaryArticle,yes,true,0.286
tmt-vs-tmx-vs-hysd,isThisAFeaturedArticle,yes,true,0.286
tmt-vs-tmx-vs-hysd,contentfulId,MISSING,MISSING,MISSING
